ID;Precio (€/mes);Tipo;Telefonos;Ciudad;Dirección;Barrio;Habitaciones;Baños;Area (m2);Planta;Ascensor;Terraza;Parking;Calefacción;Aire;Balcón;Precio del m2 (€/m2)
162938354;550;Piso;;Jaén Capital;Avenida de Granada;Belén - San Roque;2;1;60;;True;False;False;True;False;False;9.166666666666666
161764395;450;Casa o chalet;953115976;Jaén Capital;;;1;1;70;;False;False;False;False;False;False;6.428571428571429
162900214;600;Piso;953114539;Jaén Capital;;;2;2;105;2;False;False;False;True;False;False;5.714285714285714
162417974;575;Apartamento;953113381;Jaén Capital;;;1;1;50;3;True;False;False;False;False;False;11.5
162882113;150;Piso;953115713;Jaén Capital;;;4;1;120;4;False;False;False;False;True;False;1.25
162867395;640;Piso;953115713;Jaén Capital;;;4;2;140;7;True;False;False;False;False;False;4.571428571428571
162865064;490;Piso;953380135;Jaén Capital;Calle Nueva;Avda de Madrid - Pº de la Estación;1;2;91;1;False;False;False;True;False;False;5.384615384615385
162851724;600;Piso;953114539;Jaén Capital;;;4;2;120;1;False;False;False;False;False;True;5.0
162846198;500;Estudio;953115713;Jaén Capital;;;;1;100;1;True;False;False;True;False;False;5.0
162846169;650;Piso;953115713;Jaén Capital;;;3;2;130;2;True;False;False;False;False;False;5.0
158428683;600;Piso;961284629;Jaén Capital;C/ Santo Reino;Avda de Madrid - Pº de la Estación;2;1;62;;True;False;False;True;False;False;9.67741935483871
162819554;600;Ático;953114539;Jaén Capital;;;3;2;90;5;True;False;False;False;False;False;6.666666666666667
162724126;750;Piso;953115713;Jaén Capital;;;4;2;154;5;True;False;False;False;False;False;4.87012987012987
162800429;1200;Casa adosada;953380135;Jaén Capital;Calle Pintor José María Tamayo;Renfe - Bulevar 1ª y 2ª Fase;4;4;250;;False;False;False;True;True;False;4.8
162428485;430;Apartamento;953114865;Jaén Capital;Calle de Adarves Bajos;San Ildefonso - Catedral;2;1;65;2;True;False;False;False;False;False;6.615384615384615
162376151;600;Piso;953114865;Jaén Capital;Avenida de Granada;San Ildefonso - Catedral;2;2;96;2;True;False;False;False;False;False;6.25
162360734;450;Piso;953114865;Jaén Capital;Calle Labradores;Belén - San Roque;3;1;80;1;False;False;False;False;False;True;5.625
162797896;450;Casa o chalet;953113786;Jaén Capital;;;3;2;98;;False;False;False;True;False;True;4.591836734693878
